SEMARNAT	SEMARNAT	Contiene IEDA	# de casilla
SEMARNAT	Listado de Fideicomisos y ejercicio de gasto en tiempo real		
SEMARNAT	Información geoespacial		
SEMARNAT	Información histórica de sequías		
SEMARNAT	Asentamientos humanos		
SEMARNAT	Producción minera a nivel subnacional		
SEMARNAT	Cartografía minera		
SEMARNAT	Datos de los inventarios de emisiones		
SEMARNAT	Registro de emisiones y transferencia de contaminantes		
SEMARNAT	Permisos cambio uso de suelos (Sistema de gestión forestal)		
SEMARNAT	Estadísticas de verificación vehicular		
SEMARNAT	Diagnósticos de deforestación y degradación forestal a nivel nacional y regional		
SEMARNAT	Autorizaciones de manejo forestal maderable		
SEMARNAT	Sistema hidrometeorológico nacional		
SEMARNAT	Calidad del Agua y porcentaje de agua por colonia, delegación, municipio y estado		
SEMARNAT	Calidad de suelo		
SEMARNAT	Hidrografía del país		
SEMARNAT	Imágenes satelitales de zonas afectadas (pre y post)		
			
			
SFP	SFP	Contiene IEDA	# de casilla
SFP	Conjunto de datos de COMPRANET		
SFP	Conjunto de datos de la Bitácora Electrónica de Obra Pública		
			
			
SEDATU	SEDATU	Contiene IEDA	# de casilla
SEDATU	Datos sobre catastros a nivel nacional		
SEDATU	Información geoespacial		
SEDATU	Información histórica de sequías		
SEDATU	Asentamientos humanos		
SEDATU	Calidad de suelo		
SEDATU	Límites administrativos al mayor nivel desagregado (localidades, asentamientos)		
SEDATU	Capa cartográfica de edificios y construcciones		
SEDATU	Modelos de elevación		
			
SEGOB	SEGOB	Contiene IEDA	# de casilla
SEGOB	Sistema Fonden		
SEGOB	Registro Público Vehicular		
SEGOB	Fondos destinados a declaratorias de emergencia y desastres		
			
STPS	STPS	Contiene IEDA	# de casilla
STPS	Encuesta nacional de ocupación y empleo 		
			
SE/Minas	SE/Minas	Contiene IEDA	# de casilla
SE/Minas	Producción minera a nivel subnacional		
SE/Minas	Cartografía minera		
			
SE	SE	Contiene IEDA	 # de casilla
SE	Conjuntos de proyectos de inversión		
SE	Directorio y conjuntos relacionados del Sistema de Información Empresarial Mexicano (SIEM)		
SE	Directorio y conjuntos relacionados del Registro Público de Comercio		
SE	Estadísticas desagregadas de comercio internacional		
SE	ITAEE por subsector para cada rama de actividad		
SE	Sistema nacional de información e integración de mercados		
SE	Registro Público del Comercio disponible por Internet		
			
PGR	PGR	Contiene IEDA	 # de casilla
PGR	Esfuerzo Nacional (desagregación municipal y mensual)		
PGR	Incidencia Delictiva		
			
SCT	SCT	Contiene IEDA	 # de casilla
SCT	Red Nacional de Caminos		
SCT	Estadísticas de Transporte de América del Norte		
